seqnames	start	end	width	strand	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	MGI_Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000113448.17	chr5	58969038	60522120	1553083	-	16286	ENSG00000113448.17	ENSG00000113448	protein_coding	PDE4D	5144	InGen	6.87969578430924	28	ENST00000340635.10;ENST00000546160.5;ENST00000636120.1;ENST00000360047.9;ENST00000507116.5;ENST00000358923.10;ENST00000317118.12;ENST00000503258.5;ENST00000405755.6;ENST00000515011.5;ENST00000502484.6;ENST00000505453.1;ENST00000309641.10;ENST00000405053.7;ENST00000502575.1;ENST00000621323.4;ENST00000515324.1;ENST00000514231.1;ENST00000512069.6;ENST00000509368.6;ENST00000509355.5;ENST00000504624.1;ENST00000506024.5;ENST00000506510.6;ENST00000511382.1;ENST00000505507.6;ENST00000514552.5;ENST00000515835.2	PDE4D	0.168828841219772	6.76354825779692	4.03194583875831	0.000199229314958901	0.0911623406765424	0.443726214807037
ENSG00000250148.1	chr5	60743563	60744970	1408	-	1408	ENSG00000250148.1	ENSG00000250148	processed_pseudogene	KRT8P31	NA	InGen	0.471771819296908	1	ENST00000504812.1	KRT8P31	0.609624807349595	-0.797679390170232	4.01000459174447	0.000213541730129761	0.0911623406765424	0.023168647833236
ENSG00000261269.1	chr5	72439903	72442387	2485	-	2485	ENSG00000261269.1	ENSG00000261269	sense_overlapping	RP11-389C8.2	NA	InGen	1.46021100086842	1	ENST00000564956.1	RP11-389C8.2	0.61975535489902	1.69761261797181	4.32271356734026	7.83829954665375e-05	0.0594561148278842	1.44416324353302
ENSG00000113249.12	chr5	157029413	157059119	29707	-	2151	ENSG00000113249.12	ENSG00000113249	protein_coding	HAVCR1	26762	InGen	0.235381029887786	6	ENST00000522693.5;ENST00000523175.5;ENST00000339252.7;ENST00000625904.2;ENST00000517644.1;ENST00000518745.1	HAVCR1	-0.647408088697904	-1.16569837695007	-4.07759797548995	0.000172368000984363	0.0911623406765424	0.0742061990724165
ENSG00000170542.5	chr6	2887266	2903280	16015	-	4118	ENSG00000170542.5	ENSG00000170542	protein_coding	SERPINB9	5272	InGen	3.99151401407865	1	ENST00000380698.4	SERPINB9	0.387063309972414	3.98247392742898	4.44582464055514	5.24405523602827e-05	0.0571971482739977	1.80362555381239
ENSG00000204371.11	chr6	31879759	31897687	17929	-	7289	ENSG00000204371.11	ENSG00000204371	protein_coding	EHMT2	10919	InGen	8.76347802419532	12	ENST00000478491.5;ENST00000461880.5;ENST00000494816.5;ENST00000480912.5;ENST00000395728.7;ENST00000375528.8;ENST00000375530.8;ENST00000375537.8;ENST00000436026.1;ENST00000477678.1;ENST00000463484.1;ENST00000465429.1	EHMT2	-0.13930783818011	5.97287340505385	-4.08455582571347	0.000168595614091498	0.0911623406765424	0.620131976881729
ENSG00000204344.14	chr6	31971091	31982821	11731	+	3954	ENSG00000204344.14	ENSG00000204344	protein_coding	STK19	8859	InGen	1.98696405807064	17	ENST00000466132.5;ENST00000460018.1;ENST00000479644.1;ENST00000375331.6;ENST00000492583.5;ENST00000375333.2;ENST00000473983.5;ENST00000478486.5;ENST00000463823.5;ENST00000483801.5;ENST00000519179.5;ENST00000466336.5;ENST00000471028.1;ENST00000491861.5;ENST00000484540.5;ENST00000469907.1;ENST00000490822.1	STK19	-0.175021681726293	2.95006322059432	-4.0143669067725	0.000210619065511364	0.0911623406765424	0.573941287622697
ENSG00000273014.1	chr7	32758882	32759353	472	+	472	ENSG00000273014.1	ENSG00000273014	lincRNA	RP11-225B17.2	NA	InGen	4.57598245491713	1	ENST00000609151.1	RP11-225B17.2	0.274015873248628	1.07362660089392	4.49969723562092	4.39307178552871e-05	0.0571971482739977	1.84679091990311
ENSG00000106636.7	chr7	44200968	44214294	13327	+	3707	ENSG00000106636.7	ENSG00000106636	protein_coding	YKT6	10652	InGen	13.9293864588165	7	ENST00000496112.5;ENST00000447123.5;ENST00000223369.2;ENST00000463014.1;ENST00000478411.1;ENST00000424864.1;ENST00000421621.2	YKT6	-0.137066506920962	5.67950380161194	-4.61582938920428	2.99223505892888e-05	0.0571971482739977	2.26051451241417
ENSG00000128567.16	chr7	131500262	131558217	57956	-	6874	ENSG00000128567.16	ENSG00000128567	protein_coding	PODXL	5420	InGen	10.5224677650898	8	ENST00000446198.5;ENST00000484346.1;ENST00000378555.7;ENST00000322985.9;ENST00000490761.5;ENST00000487965.1;ENST00000482581.1;ENST00000465001.1	PODXL	0.431023884192791	6.04785300275531	4.97588773009792	8.93676904077148e-06	0.0508412790729489	3.39814439700172
ENSG00000164933.11	chr8	103398635	103415189	16555	-	3654	ENSG00000164933.11	ENSG00000164933	protein_coding	SLC25A32	81034	InGen	6.79399982840857	5	ENST00000297578.8;ENST00000523256.6;ENST00000521645.5;ENST00000523866.1;ENST00000523701.1	SLC25A32	0.173853374418785	4.6149570430469	4.51544229752689	4.17096519623283e-05	0.0571971482739977	1.98826645364631
ENSG00000147697.8	chr8	129748196	129786888	38693	-	2934	ENSG00000147697.8	ENSG00000147697	protein_coding	GSDMC	56169	InGen	0.451721955453106	4	ENST00000522273.5;ENST00000276708.8;ENST00000619643.1;ENST00000521365.1	GSDMC	-0.878747885796709	0.165752207591258	-4.35582757784105	7.03779289713454e-05	0.0571971482739977	1.25976643337551
ENSG00000259820.1	chr8	134792020	134798272	6253	-	6253	ENSG00000259820.1	ENSG00000259820	lincRNA	AC083843.1	NA	InGen	0.775786898375231	1	ENST00000568248.1	AC083843.1	0.294233398811282	2.17417972352064	4.17641314391063	0.000125713987766701	0.0841396325182075	1.05194360101869
ENSG00000172889.15	chr9	136658856	136672678	13823	+	2553	ENSG00000172889.15	ENSG00000172889	protein_coding	EGFL7	51162	InGen	9.24079696550788	7	ENST00000371699.5;ENST00000308874.11;ENST00000406555.7;ENST00000492862.6;ENST00000490469.5;ENST00000492002.1;ENST00000371698.3	EGFL7	0.355802749004335	4.48731970578054	4.39160219086564	6.26258301834724e-05	0.0571971482739977	1.61131816978472
ENSG00000198682.12	chr10	87659613	87747705	88093	+	4083	ENSG00000198682.12	ENSG00000198682	protein_coding	PAPSS2	9060	InGen	1.49587895634828	4	ENST00000361175.8;ENST00000456849.1;ENST00000465996.5;ENST00000482258.1	PAPSS2	0.492571440105574	2.45582596434143	4.70399240130726	2.23112238610801e-05	0.0571971482739977	2.6153492000675
ENSG00000151892.14	chr10	116056925	116273467	216543	-	9678	ENSG00000151892.14	ENSG00000151892	protein_coding	GFRA1	2674	InGen	5.52611497530525	5	ENST00000369236.5;ENST00000439649.7;ENST00000355422.10;ENST00000369234.4;ENST00000490345.1	GFRA1	0.601755257234731	5.4627044010425	4.05645661415664	0.000184339506922223	0.0911623406765424	0.554440969926891
ENSG00000126500.3	chr11	64103188	64119173	15986	+	3949	ENSG00000126500.3	ENSG00000126500	protein_coding	FLRT1	23769	InGen	5.45381343973935	1	ENST00000246841.3	FLRT1	-0.338461284275941	4.377899209766	-5.21136540685017	4.00513082075941e-06	0.0317462834845321	4.20376063014827
ENSG00000174804.3	chr11	86945679	86955391	9713	-	7383	ENSG00000174804.3	ENSG00000174804	protein_coding	FZD4	8322	InGen	2.82174646661351	1	ENST00000531380.1	FZD4	0.362707050902295	4.27028536535811	4.3947875211453	6.19774729380038e-05	0.0571971482739977	1.63374666271989
ENSG00000250303.3	chr11	112270749	112362534	91786	+	5018	ENSG00000250303.3	ENSG00000250303	lincRNA	RP11-356J5.12	283140	InGen	0.895870943249634	5	ENST00000504610.2;ENST00000532168.2;ENST00000419895.3;ENST00000529938.1;ENST00000527511.1	RP11-356J5.12	-0.303812239152225	2.13836600737252	-4.33158399864831	7.61555288549684e-05	0.0594561148278842	1.49997423889972
ENSG00000250899.3	chr12	3041437	3044950	3514	+	3514	ENSG00000250899.3	ENSG00000250899	lincRNA	RP11-253E3.3	NA	InGen	0.222925058983541	1	ENST00000513358.3	RP11-253E3.3	0.812116191915542	-0.589406934580595	4.3754956613998	6.60069599308128e-05	0.0571971482739977	0.937834714539316
ENSG00000110900.14	chr12	30926428	30996599	70172	+	7113	ENSG00000110900.14	ENSG00000110900	protein_coding	TSPAN11	441631	InGen	2.1617605956301	4	ENST00000545802.1;ENST00000546076.5;ENST00000535215.5;ENST00000261177.9	TSPAN11	-0.623721654441955	3.77495067420888	-4.39247574194931	6.24473674234196e-05	0.0571971482739977	1.65370192030603
ENSG00000177359.17	chr12	31111652	31206154	94503	-	5471	ENSG00000177359.17	ENSG00000177359	protein_coding	OVOS2	144203	InGen	0.346285542978823	5	ENST00000542490.5;ENST00000542925.5;ENST00000398963.8;ENST00000391394.3;ENST00000632817.1	OVOS2	-1.28445114675532	0.155602139434772	-4.1791116424277	0.000124630096516108	0.0841396325182075	0.792729846112743
ENSG00000135426.15	chr12	54948018	54984746	36729	-	5025	ENSG00000135426.15	ENSG00000135426	protein_coding	TESPA1	9840	InGen	1.00958976624015	14	ENST00000524622.5;ENST00000524923.5;ENST00000528240.1;ENST00000532804.5;ENST00000449076.5;ENST00000316577.12;ENST00000532757.5;ENST00000531122.5;ENST00000524959.5;ENST00000526532.5;ENST00000533446.5;ENST00000525978.5;ENST00000524668.5;ENST00000533607.1	TESPA1	1.5695118551827	-1.29253461290784	4.64301226357852	2.73381976014379e-05	0.0571971482739977	1.54719762269675
ENSG00000258240.5	chr12	110951683	110957812	6130	-	594	ENSG00000258240.5	ENSG00000258240	lincRNA	RP1-46F2.3	105369980	InGen	1.31753325099352	2	ENST00000546852.5;ENST00000548329.1	RP1-46F2.3	1.01821110526093	-0.765222114408851	4.40814121789869	5.93299981622078e-05	0.0571971482739977	0.990526791792898
ENSG00000102755.10	chr13	28300344	28495128	194785	-	12550	ENSG00000102755.10	ENSG00000102755	protein_coding	FLT1	2321	InGen	7.51834302418411	8	ENST00000282397.8;ENST00000617835.4;ENST00000615611.4;ENST00000543394.2;ENST00000540678.2;ENST00000541932.5;ENST00000615840.4;ENST00000539099.1	FLT1	0.458403983272073	6.38440746795764	4.26910826055324	9.32589915045705e-05	0.0684581164734841	1.16519283601254
ENSG00000136111.12	chr13	75284665	75482114	197450	-	6658	ENSG00000136111.12	ENSG00000136111	protein_coding	TBC1D4	9882	InGen	6.503258660513	7	ENST00000377625.6;ENST00000431480.6;ENST00000377636.7;ENST00000478591.1;ENST00000493487.1;ENST00000413735.1;ENST00000488955.1	TBC1D4	0.275122416189225	5.40787338069429	4.08474527636395	0.000168494026649134	0.0911623406765424	0.639492994749995
ENSG00000186648.14	chr14	24052000	24069728	17729	+	6665	ENSG00000186648.14	ENSG00000186648	protein_coding	CARMIL3	90668	InGen	3.70872186388376	4	ENST00000342740.5;ENST00000559694.5;ENST00000561354.1;ENST00000560349.1	CARMIL3	-0.317610913423614	4.52099482595739	-4.42873331280663	5.54625350436675e-05	0.0571971482739977	1.72756271360761
ENSG00000274307.1	chr15	25708470	25710869	2400	-	2400	ENSG00000274307.1	ENSG00000274307	sense_intronic	RP11-345J18.2	NA	InGen	0.620231829852081	1	ENST00000620538.1	RP11-345J18.2	0.533818537029583	0.387754983368148	4.0156892199169	0.000209740819978068	0.0911623406765424	0.408389549852348
ENSG00000069974.15	chr15	55202966	55319113	116148	-	5605	ENSG00000069974.15	ENSG00000069974	protein_coding	RAB27A	5873	InGen	0.99163650219551	12	ENST00000396307.6;ENST00000336787.5;ENST00000564609.5;ENST00000569493.5;ENST00000566877.5;ENST00000567380.5;ENST00000565972.5;ENST00000563262.5;ENST00000568803.1;ENST00000567639.1;ENST00000565776.1;ENST00000561545.1	RAB27A	0.380381281401396	2.3801883755018	4.1139509673407	0.000153523558479914	0.0911623406765424	0.875564803093774
ENSG00000103653.16	chr15	74782057	74803198	21142	+	4570	ENSG00000103653.16	ENSG00000103653	protein_coding	CSK	1445	InGen	4.1466881598268	14	ENST00000220003.13;ENST00000439220.6;ENST00000563894.1;ENST00000567123.1;ENST00000569462.5;ENST00000567571.5;ENST00000569915.1;ENST00000562066.5;ENST00000568329.5;ENST00000567135.5;ENST00000564216.5;ENST00000566464.5;ENST00000569321.1;ENST00000563010.1	CSK	-0.157379543889352	4.22481374297744	-4.52051039965659	4.10183840682577e-05	0.0571971482739977	2.02223527501977
ENSG00000103202.12	chr16	396725	410367	13643	+	3670	ENSG00000103202.12	ENSG00000103202	protein_coding	NME4	4833	InGen	3.44252395927572	12	ENST00000397722.5;ENST00000454619.5;ENST00000620944.4;ENST00000621774.4;ENST00000448828.5;ENST00000444498.5;ENST00000460297.1;ENST00000382940.8;ENST00000219479.6;ENST00000433358.5;ENST00000450036.1;ENST00000468031.1	NME4	-0.204710807269819	3.59296003261079	-4.22278433611892	0.000108301558419678	0.0770159457311934	1.15102466093658
ENSG00000006327.13	chr16	3018445	3022383	3939	+	1848	ENSG00000006327.13	ENSG00000006327	protein_coding	TNFRSF12A	51330	InGen	0.961699399653824	7	ENST00000573001.5;ENST00000326577.8;ENST00000341627.5;ENST00000574699.1;ENST00000575124.1;ENST00000575836.1;ENST00000571351.1	TNFRSF12A	0.837069985657374	0.52432838567457	4.007222138047	0.000215426394361235	0.0911623406765424	0.409839410919025
ENSG00000103485.17	chr16	29679008	29698699	19692	+	3642	ENSG00000103485.17	ENSG00000103485	protein_coding	QPRT	23475	InGen	4.63220475006511	4	ENST00000219771.7;ENST00000395384.8;ENST00000562473.1;ENST00000564967.1	QPRT	-0.32978741648457	3.99532554937299	-4.69899830338966	2.26862799437139e-05	0.0571971482739977	2.58641293020834
ENSG00000141258.12	chr17	2337498	2381058	43561	+	9771	ENSG00000141258.12	ENSG00000141258	protein_coding	SGSM2	9905	InGen	10.8583326514547	14	ENST00000572875.1;ENST00000573062.5;ENST00000268989.7;ENST00000426855.6;ENST00000574563.5;ENST00000574650.1;ENST00000570431.1;ENST00000574857.1;ENST00000575367.1;ENST00000573717.2;ENST00000574250.1;ENST00000572841.1;ENST00000573851.1;ENST00000572925.1	SGSM2	-0.159263671502872	6.67663630024374	-4.37376855450519	6.63799251733812e-05	0.0571971482739977	1.48374772942373
ENSG00000072310.16	chr17	17810399	17837002	26604	-	8030	ENSG00000072310.16	ENSG00000072310	protein_coding	SREBF1	6720	InGen	12.0129056029768	23	ENST00000485080.6;ENST00000578469.1;ENST00000395756.5;ENST00000395757.5;ENST00000395751.8;ENST00000355815.8;ENST00000261646.9;ENST00000486311.5;ENST00000478616.1;ENST00000447641.5;ENST00000581707.1;ENST00000490796.1;ENST00000584760.1;ENST00000471445.5;ENST00000469356.3;ENST00000580540.1;ENST00000583080.1;ENST00000487401.1;ENST00000470247.1;ENST00000423161.3;ENST00000583732.1;ENST00000577897.1;ENST00000476994.1	SREBF1	-0.303090458767131	6.50168307786648	-4.00413918384095	0.000217533410895095	0.0911623406765424	0.368004781729623
ENSG00000173868.11	chr17	49223362	49230766	7405	-	2375	ENSG00000173868.11	ENSG00000173868	protein_coding	PHOSPHO1	162466	InGen	0.926686544632824	7	ENST00000310544.8;ENST00000413580.5;ENST00000514112.1;ENST00000511066.5;ENST00000574638.1;ENST00000512250.1;ENST00000503902.1	PHOSPHO1	0.757352248914144	0.727067122808698	4.12818381536204	0.000146704071449151	0.0911623406765424	0.770409221876657
ENSG00000108622.10	chr17	64002594	64020634	18041	-	3243	ENSG00000108622.10	ENSG00000108622	protein_coding	ICAM2	3384	InGen	2.53560282139348	16	ENST00000578379.5;ENST00000578892.5;ENST00000583684.5;ENST00000449662.6;ENST00000579788.5;ENST00000412356.5;ENST00000418105.5;ENST00000581417.5;ENST00000579687.5;ENST00000578313.5;ENST00000583366.5;ENST00000584084.1;ENST00000584403.5;ENST00000580011.1;ENST00000580389.1;ENST00000583186.1	ICAM2	0.519183534114065	2.84895473707542	4.03125039477318	0.000199668346106783	0.0911623406765424	0.62571464235931
ENSG00000105227.14	chr19	40393768	40413366	19599	-	5767	ENSG00000105227.14	ENSG00000105227	protein_coding	PRX	57716	InGen	1.16117111986887	3	ENST00000291825.11;ENST00000324001.7;ENST00000599513.1	PRX	0.700848296019486	2.49746537589938	5.37319754306161	2.2965755574431e-06	0.0317462834845321	4.6726103235058
ENSG00000117877.10	chr19	45406209	45410766	4558	+	3661	ENSG00000117877.10	ENSG00000117877	protein_coding	CD3EAP	10849	InGen	1.73691060764464	4	ENST00000309424.7;ENST00000592852.1;ENST00000589804.1;ENST00000590794.1	CD3EAP	-0.208779556734829	2.62712335277024	-4.58527245771377	3.31135810848924e-05	0.0571971482739977	2.26137929998415
ENSG00000101276.14	chr20	760080	776015	15936	-	3603	ENSG00000101276.14	ENSG00000101276	protein_coding	SLC52A3	113278	InGen	1.03515692319503	5	ENST00000381944.4;ENST00000217254.11;ENST00000632431.1;ENST00000473664.1;ENST00000488495.1	SLC52A3	0.825542753090422	1.51013129681241	4.08847652765611	0.000166505310878681	0.0911623406765424	0.768481117379699
ENSG00000101187.15	chr20	62642445	62685785	43341	+	4051	ENSG00000101187.15	ENSG00000101187	protein_coding	SLCO4A1	28231	InGen	2.46037947599125	9	ENST00000217159.5;ENST00000497209.5;ENST00000370507.5;ENST00000470412.5;ENST00000495889.5;ENST00000466961.5;ENST00000451793.1;ENST00000497919.5;ENST00000466818.1	SLCO4A1	0.837216473969419	2.93566071142426	4.11974508659195	0.000150711027071695	0.0911623406765424	0.879951418888439
ENSG00000157554.18	chr21	38380027	38661780	281754	-	7588	ENSG00000157554.18	ENSG00000157554	protein_coding	ERG	2078	InGen	0.943864194474125	16	ENST00000398905.5;ENST00000398907.5;ENST00000288319.11;ENST00000398897.5;ENST00000398911.5;ENST00000398910.5;ENST00000417133.6;ENST00000442448.5;ENST00000453032.6;ENST00000398919.6;ENST00000481609.5;ENST00000492833.5;ENST00000429727.6;ENST00000468474.5;ENST00000473107.1;ENST00000485493.1	ERG	0.3917523367603	2.73377171726611	4.01395444433766	0.000210893740237908	0.0911623406765424	0.582212320545674
ENSG00000128335.13	chr22	36226203	36239954	13752	-	3484	ENSG00000128335.13	ENSG00000128335	protein_coding	APOL2	23780	InGen	12.6976131905606	9	ENST00000358502.9;ENST00000249066.10;ENST00000451256.6;ENST00000529194.5;ENST00000454728.5;ENST00000476579.1;ENST00000489186.1;ENST00000473549.1;ENST00000484830.1	APOL2	0.415249786343739	5.32767700549833	4.04074508362408	0.000193754542048852	0.0911623406765424	0.513978960101261
ENSG00000131831.17	chrX	17800049	17861337	61289	-	2622	ENSG00000131831.17	ENSG00000131831	protein_coding	RAI2	10742	InGen	2.20335321780375	6	ENST00000415486.7;ENST00000360011.5;ENST00000331511.5;ENST00000451717.5;ENST00000545871.1;ENST00000509491.2	RAI2	0.281731597855709	2.44701319022955	4.55210883348458	3.6954555106854e-05	0.0571971482739977	2.15667669843459
